SampleID,pOTU050,pOTU053,pOTU055,pOTU058,pOTU060,pOTU061,pOTU062,pOTU064,pOTU068,pOTU070,pOTU071,pOTU072,pOTU073,pOTU074,pOTU076,pOTU078,pOTU081,pOTU084,pOTU087,pOTU088,pOTU094,pOTU096,pOTU097,pOTU099,pOTU101,pOTU102,pOTU104,pOTU107,pOTU108,pOTU109,pOTU110,pOTU112,pOTU115,pOTU116,pOTU117,pOTU120,pOTU121,pOTU122,pOTU124,pOTU128,pOTU129,pOTU130,pOTU131,pOTU133,pOTU135,pOTU136,pOTU138,pOTU141,pOTU145,pOTU146,pOTU150,pOTU154,pOTU155,pOTU156,pOTU158,pOTU160,pOTU163,pOTU164,pOTU170,pOTU172,pOTU175,pOTU176,pOTU179,pOTU180,pOTU181,pOTU056,pOTU057,pOTU063,pOTU065,pOTU066,pOTU069,pOTU075,pOTU077,pOTU079,pOTU080,pOTU082,pOTU083,pOTU085,pOTU086,pOTU089,pOTU090,pOTU091,pOTU092,pOTU093,pOTU095,pOTU098,pOTU100,pOTU103,pOTU105,pOTU106,pOTU111,pOTU113,pOTU118,pOTU119,pOTU123,pOTU125,pOTU126,pOTU127,pOTU132,pOTU134,pOTU137,pOTU139,pOTU140,pOTU142,pOTU143,pOTU144,pOTU147,pOTU148,pOTU149,pOTU151,pOTU152,pOTU153,pOTU157,pOTU159,pOTU161,pOTU162,pOTU165,pOTU166,pOTU167,pOTU168,pOTU169,pOTU171,pOTU173,pOTU174,pOTU177,pOTU178,AJ007285 Proteomonas sp.,AM901350 Hemiselmis sp.,AY426835 uncultured Picozoa (1803),DQ060525 uncultured Picozoa (1781),DQ060526 uncultured Picozoa (1789),DQ222875 uncultured Picozoa (1801),DQ222876 uncultured Picozoa (1799),DQ222877 uncultured Picozoa (1801),DQ222878 uncultured Picozoa (1801),DQ222880 uncultured Picozoa (1800),EU368037 uncultured Picozoa (1764),EU368038 uncultured Picozoa (1717),EU368039 uncultured Picozoa (1766),GU068005 Katablepharids sp.,HM126532 Rhodomonas sp.,HM581782 uncultured Picozoa (1789),JF790986 Geminigera sp.,JF791041 uncultured Picozoa (1777),JN934891 Picobiliphyte sp. MS584-11 (1667),JN934892 Picobiliphyte sp. MS584-22 (1655),JN934893 Picobiliphvte sp. MS609-66 (1656),JQ222911 uncultured Picozoa (1637),JQ226352 uncultured Picozoa (1606),JQ226578 uncultured Picozoa (1601),JQ956302 uncultured Picozoa (1583),JX188383 uncultured Picozoa (1765),JX840937 uncultured Picozoa (1271),JX988758 Picomonas judraskeda (1807),KC488335 uncultured Picozoa (1658),KC488337 uncultured Picozoa (1690),KC488338 uncultured Picozoa (1714),KC488340 uncultured Picozoa (1697),KC488341 uncultured Picozoa (1706),KC488343 uncultured Picozoa (1707),KC488344 uncultured Picozoa (1680),KC488345 uncultured Picozoa (1706),KF031848 uncultured Picozoa (1765),KF129812 uncultured Picozoa (1765),KF130040 uncultured Picozoa (1763),KF130187 uncultured Picozoa (1766),KF130204 uncultured Picozoa (1765),KF130491 uncultured Picozoa (1763),KF130509 uncultured Picozoa (1765),KF130560 uncultured Picozoa (1765),KJ759275 uncultured Picozoa (1806),KJ759641 uncultured Picozoa (1788),KJ762470 uncultured Picozoa (1800),KJ762479 uncultured Picozoa (1805),KJ762836 uncultured Picozoa (1805),KJ762967 Leucocryptos Katablephafrids,KJ762972 uncultured Picozoa (1807),KJ763136 uncultured Picozoa (1804),KJ763213 uncultured Picozoa (1806),KJ763562 uncultured Picozoa (1796),KJ763885 uncultured Picozoa (1800),KJ925375 Katablepharids sp.,KJ925380 Katablepharids sp.,L28811 Cryptomonas sp.,U53126 Hanusia sp.,X57162 Guillardia sp.,GU824414_Picozoa_1057,AF508277_Goniomonas_outgroup,pOTU010,pOTU019,pOTU021,pOTU024,pOTU028,pOTU048,pOTU008,pOTU011,pOTU016,pOTU017,pOTU018,pOTU023,pOTU025,pOTU026,pOTU027,pOTU029,pOTU032,pOTU033,pOTU034,pOTU035,pOTU038,pOTU039,pOTU041,pOTU042,pOTU043,pOTU044,pOTU045,pOTU046,pOTU049,pOTU001,pOTU007,pOTU009,pOTU012,pOTU020,pOTU030,pOTU031,pOTU051,pOTU014,pOTU052,pOTU054,pOTU006,pOTU013,pOTU015,pOTU037,pOTU040,pOTU002,pOTU003,pOTU004,pOTU005,pOTU022,pOTU036,pOTU047,pOTU059
ERR10234166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR10234174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR10234181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,1,0,0,0,0
ERR10234183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0
ERR10234185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0
ERR10234187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,8,17,5,0,0,1,0
ERR10234189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9,3,0,0,0,0
ERR10234204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,8,4,0,0,0,0
ERR10234208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,28,0,1,0,0,0
ERR10234209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,4,0,0,0,0
