"","SampleID","Old_sample_ID","project","size_fraction_lower_threshold","size_fraction_upper_threshold","collection_date_merged","Year","Month","Day","lat","long","lat_rank","depth","water_colum","altitude","feature_v2","raw_env_v2","Salinity_V2","Temp_MG","Longhurst_province","longhurst_code","province_name","ocean","biome","OcenRegion","notus_18SrRNA","nreads_18SrRNA","picozoa_nreads","picozoa_noutus","picozoa_nreads_rarefy","Picozoa_notus_rarefy","Shannon","S.obs","S.chao1","water_colum2"
"2120","ERR2220165","ERR2220165","PRJEB23771",0.22,"3","03/01/2011",2011,1,3,-4.778666667,-28.16866667,"0_-30","4000","BATHY",NA,"marine pelagic zone (ENVO_00000208)","marine biome/open ocean/water",34.86,NA,"Trades - Western Tropical Atlantic Province","WTRA","Western tropical Atlantic","Atlantic","Trade wind","SAO",550,225595,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2121","ERR2220241","ERR2220241","PRJEB23771",0.22,"3","05/07/2011",2011,7,5,26.911,-32.8365,"0_30","4000","BATHY",NA,"marine pelagic zone (ENVO_00000208)","marine biome/open ocean/water",34.91,NA,"Westerlies - N. Atlantic Subtropical Gyral Province (East) (STGE)","NASE","Northeast Atlantic subtropical gyral","Atlantic","Westerly","NAO",54,44577,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2122","ERR2220275","ERR2220275","PRJEB23771",0.22,"3","17/02/2011",2011,2,17,-33.90716667,37.04216667,"-30_-60","4000","BATHY",NA,"marine pelagic zone (ENVO_00000208)","marine biome/open ocean/water",34.74,NA,"Trades - Indian S. Subtropical Gyre Province","ISSG","Indian South subtropical gyre","Indian","Trade wind","IO",153,10736,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2123","SRR5902386","SRR5902386","PRJNA385736",0.22,NA,"20/09/2016",2016,9,20,-28.00505,154.35052,"0_-30","1000","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.43747,NA,"Coastal - East Australian Coastal Province","AUSE","East Australian coast","Pacific","Coastal","SPO",126,50043,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2124","SRR5915318","SRR5915318","PRJNA385736",0.22,NA,"08/09/2016",2016,9,8,-36.87932,152.57307,"-30_-60","4800","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.716561,NA,"Westerlies - Tasman Sea Province","TASM","Tasman Sea","Pacific","Westerly","SPO",1009,42330,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2125","SRR6400816","SRR6400816","PRJNA385736",0.22,NA,"42528",2016,6,7,-27.26607,-169.99745,"0_-30","5546.3","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.709,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",281,68330,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2126","SRR6400819","SRR6400819","PRJNA385736",0.22,NA,"02/06/2016",2016,6,2,-35.68073,-170.00705,"-30_-60","4400.1","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.712,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",204,26131,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2127","SRR6400834","SRR6400834","PRJNA385736",0.22,NA,"02/06/2016",2016,6,2,-35.33387,-170.00248,"-30_-60","1035.8","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.326,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",87,23536,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2128","SRR6400859","SRR6400859","PRJNA385736",0.22,NA,"14/06/2016",2016,6,14,-16.50275,-170.00038,"0_-30","2000.5","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.631,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",187,30097,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2129","SRR6400860","SRR6400860","PRJNA385736",0.22,NA,"14/06/2016",2016,6,14,-16.50275,-170.00038,"0_-30","1000.7","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.492,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",150,28800,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2130","SRR6400876","SRR6400876","PRJNA385736",0.22,NA,"04/06/2016",2016,6,4,-32.00123,-169.9937,"-30_-60","2064.8","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.627,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",378,61507,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2131","SRR6400904","SRR6400904","PRJNA385736",0.22,NA,"20/05/2016",2016,5,20,-47.112133,-170.468833,"-30_-60","2085.7","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.547,NA,"Westerlies - Subantarctic Province","SANT","Subantarctic water ring","Antarctic","Westerly","SO",112,125638,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2132","SRR6400933","SRR6400933","PRJNA385736",0.22,NA,"22/05/2016",2016,5,22,-44.328417,-173.74595,"-30_-60","3128.2","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.729,NA,"Coastal - New Zealand Coastal Province","NEWZ","New Zealand coast","Pacific","Coastal","SPO",163,29315,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2133","SRR6400935","SRR6400935","PRJNA385736",0.22,NA,"22/05/2016",2016,5,22,-44.1559,-173.9375,"-30_-60","1904.5","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.655,NA,"Coastal - New Zealand Coastal Province","NEWZ","New Zealand coast","Pacific","Coastal","SPO",174,38685,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2134","SRR6400948","SRR6400948","PRJNA385736",0.22,NA,"29/05/2016",2016,5,29,-42.169,-174.25463,"-30_-60","2889.2","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.727,NA,"Coastal - New Zealand Coastal Province","NEWZ","New Zealand coast","Pacific","Coastal","SPO",416,244872,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2135","SRR6400971","SRR6400971","PRJNA385736",0.22,NA,"01/06/2016",2016,6,1,-36.45077,-170.2935,"-30_-60","1034.9","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.354,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",132,11955,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2136","SRR6400982","SRR6400982","PRJNA385736",0.22,NA,"19/05/2016",2016,5,19,-47.499267,-169.989033,"-30_-60","5471.2","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.704,NA,"Westerlies - Subantarctic Province","SANT","Subantarctic water ring","Antarctic","Westerly","SO",668,88661,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2137","SRR6400984","SRR6400984","PRJNA385736",0.22,NA,"19/05/2016",2016,5,19,-47.499267,-169.989033,"-30_-60","1000.7","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.342,NA,"Westerlies - Subantarctic Province","SANT","Subantarctic water ring","Antarctic","Westerly","SO",349,154398,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2138","SRR6401000","SRR6401000","PRJNA385736",0.22,NA,"08/06/2016",2016,6,8,-26.48152,-169.99633,"0_-30","5724.2","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.709,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",94,15723,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2139","SRR6401003","SRR6401003","PRJNA385736",0.22,NA,"17/05/2016",2016,5,17,-51.002167,-170.01015,"-30_-60","1932.4","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.663,NA,"Westerlies - Subantarctic Province","SANT","Subantarctic water ring","Antarctic","Westerly","SO",86,80901,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2140","SRR6401017","SRR6401017","PRJNA385736",0.22,NA,"14/06/2016",2016,6,14,-17.9986,-170.00035,"0_-30","4991.5","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.71,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",608,269706,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2141","SRR6401030","SRR6401030","PRJNA385736",0.22,NA,"06/06/2016",2016,6,6,-28.99925,-169.98403,"0_-30","2065.5","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.626,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",223,47422,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2142","SRR6401039","SRR6401039","PRJNA385736",0.22,NA,"05/06/2016",2016,6,5,-29.499,-169.99568,"0_-30","1035.6","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.337,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",227,46281,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2143","SRR6401043","SRR6401043","PRJNA385736",0.22,NA,"11/06/2016",2016,6,11,-22.49923,-170.00003,"0_-30","1901.4","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.619,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",214,53755,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2144","SRR6401060","SRR6401060","PRJNA385736",0.22,NA,"20/05/2016",2016,5,20,-46.7187,-170.911483,"-30_-60","5386.3","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.704,NA,"Westerlies - Subantarctic Province","SANT","Subantarctic water ring","Antarctic","Westerly","SO",254,80543,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2145","SRR6401066","SRR6401066","PRJNA385736",0.22,NA,"22/05/2016",2016,5,22,-44.1559,-173.9375,"-30_-60","1063.4","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.377,NA,"Coastal - New Zealand Coastal Province","NEWZ","New Zealand coast","Pacific","Coastal","SPO",301,85194,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2146","SRR6401067","SRR6401067","PRJNA385736",0.22,NA,"22/05/2016",2016,5,22,-44.1559,-173.9375,"-30_-60","1467.9","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.491,NA,"Coastal - New Zealand Coastal Province","NEWZ","New Zealand coast","Pacific","Coastal","SPO",169,93297,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2147","SRR6401078","SRR6401078","PRJNA385736",0.22,NA,"13/06/2016",2016,6,13,-18.50122,-170.00235,"0_-30","5345.5","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.709,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",367,140397,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2148","SRR6401098","SRR6401098","PRJNA385736",0.22,NA,"30/05/2016",2016,5,30,-39.96945,-172.70148,"-30_-60","4759.7","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.706,NA,"Westerlies - S. Subtropical Convergence Province","SSTC","South subtropical convergence","Antarctic","Westerly","SO",566,137332,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2149","SRR6401115","SRR6401115","PRJNA385736",0.22,NA,"09/06/2016",2016,6,9,-24.99308,-170.00397,"0_-30","1035.4","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.344,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",175,29714,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2150","SRR6401117","SRR6401117","PRJNA385736",0.22,NA,"09/06/2016",2016,6,9,-24.99308,-170.00397,"0_-30","5738.7","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.709,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",224,42026,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2151","SRR6401150","SRR6401150","PRJNA385736",0.22,NA,"16/06/2016",2016,6,16,-13.8176,-169.999,"0_-30","4382.4","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.712,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",258,39371,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2152","SRR6401160","SRR6401160","PRJNA385736",0.22,NA,"29/05/2016",2016,5,29,-40.83538,-173.32958,"-30_-60","1001.1","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.376,NA,"Westerlies - S. Subtropical Convergence Province","SSTC","South subtropical convergence","Antarctic","Westerly","SO",125,13696,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2153","SRR6401161","SRR6401161","PRJNA385736",0.22,NA,"29/05/2016",2016,5,29,-40.83538,-173.32958,"-30_-60","1998","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.62,NA,"Westerlies - S. Subtropical Convergence Province","SSTC","South subtropical convergence","Antarctic","Westerly","SO",387,255613,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2154","SRR6401162","SRR6401162","PRJNA385736",0.22,NA,"29/05/2016",2016,5,29,-40.83538,-173.32958,"-30_-60","4233.8","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.708,NA,"Westerlies - S. Subtropical Convergence Province","SSTC","South subtropical convergence","Antarctic","Westerly","SO",86,19196,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2155","SRR6401164","SRR6401164","PRJNA385736",0.22,NA,"29/05/2016",2016,5,29,-40.39737,-173.02195,"-30_-60","1035.9","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.374,NA,"Westerlies - S. Subtropical Convergence Province","SSTC","South subtropical convergence","Antarctic","Westerly","SO",128,22658,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2156","SRR6401175","SRR6401175","PRJNA385736",0.22,NA,"11/06/2016",2016,6,11,-22.00178,-169.99993,"0_-30","2235","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.641,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",389,92989,0,0,0,0,0,0,0,"NO_SUNLIGHT"
"2157","SRR6401189","SRR6401189","PRJNA385736",0.22,NA,"02/06/2016",2016,6,2,-34.50183,-170.00213,"-30_-60","5589.4","BATHY",NA,"marine layer (ENVO_01000295)","Pelagic",34.708,NA,"Westerlies - S. Pacific Subtropical Gyre Province","SPSG","South Pacific gyre","Pacific","Trade wind","SPO",186,30686,0,0,0,0,0,0,0,"NO_SUNLIGHT"
