SampleID,mixed_layer_depth,apparent_oxygen_utilization,Conductivity,chl_,density,nitrate,oxygen,O2sat_,phosphate,salinity,silicate,temperature,eastward_current_velocity,northward_current_velocity
SRR6400991,52.2467804,165.417099,3.167209148,0.020596435,41.23147964,34.42845535,168.759201,50.52165604,2.382263422,34.64223099,112.8063812,1.956245422,-0.014250076,0.01954951
SRR6401079,50.02904129,168.7524719,3.165492773,0.020679981,40.39241028,34.66953659,164.6296234,49.43286133,2.412318707,34.64019775,113.1184464,2.017579079,-0.011665697,0.013211872
SRR6401078,50.02904129,168.7524719,3.165492773,0.020679981,40.39241028,34.66953659,164.6296234,49.43286133,2.412318707,34.64019775,113.1184464,2.017579079,-0.011665697,0.013211872
SRR6400859,48.97639465,172.8879242,3.167775869,0.021017896,39.76095581,34.92823029,159.7665863,48.06061554,2.438776255,34.63815689,113.4379425,2.102302551,-0.009550409,0.0062249
SRR6400860,48.97639465,172.8879242,3.167775869,0.021017896,39.76095581,34.92823029,159.7665863,48.06061554,2.438776255,34.63815689,113.4379425,2.102302551,-0.009550409,0.0062249
SRR6400853,49.21993637,169.192749,3.167009115,0.021064207,40.60029984,34.67201233,164.3059387,49.3006897,2.417129517,34.64250183,113.4020538,2.012701988,0.004067691,0.00520767
SRR6401015,49.21993637,169.192749,3.167009115,0.021064207,40.60029984,34.67201233,164.3059387,49.3006897,2.417129517,34.64250183,113.4020538,2.012701988,0.004067691,0.00520767
SRR6401016,49.21993637,169.192749,3.167009115,0.021064207,40.60029984,34.67201233,164.3059387,49.3006897,2.417129517,34.64250183,113.4020538,2.012701988,0.004067691,0.00520767
SRR6401017,49.21993637,169.192749,3.167009115,0.021064207,40.60029984,34.67201233,164.3059387,49.3006897,2.417129517,34.64250183,113.4020538,2.012701988,0.004067691,0.00520767
SRR6401182,51.93222046,163.7239685,3.169512749,0.025335554,41.22566605,34.26390076,170.6782684,51.00237274,2.370378017,34.63818741,110.4564056,1.986934423,0.030761192,-0.007843492
SRR6401175,51.93222046,163.7239685,3.169512749,0.025335554,41.22566605,34.26390076,170.6782684,51.00237274,2.370378017,34.63818741,110.4564056,1.986934423,0.030761192,-0.007843492
SRR6400974,51.36294937,163.2040558,3.169932365,0.025820365,41.22498703,34.27587128,171.3715668,51.15338135,2.364270687,34.63785172,110.4012604,1.992125034,0.029238809,-0.016551193
SRR6401045,51.36294937,163.2040558,3.169932365,0.025820365,41.22498703,34.27587128,171.3715668,51.15338135,2.364270687,34.63785172,110.4012604,1.992125034,0.029238809,-0.016551193
SRR6401046,51.36294937,163.2040558,3.169932365,0.025820365,41.22498703,34.27587128,171.3715668,51.15338135,2.364270687,34.63785172,110.4012604,1.992125034,0.029238809,-0.016551193
SRR6401043,51.36294937,163.2040558,3.169932365,0.025820365,41.22498703,34.27587128,171.3715668,51.15338135,2.364270687,34.63785172,110.4012604,1.992125034,0.029238809,-0.016551193
SRR6400914,51.65932846,162.671524,3.170897484,0.025987608,41.22192001,34.16374588,171.8706818,51.30215836,2.366458893,34.63560867,108.966156,2.005471945,0.058702536,-0.003797712
