Sample_number,SampleID,bio_project,bioSampleID,seqtech,latitude,longitude,envgroup,Ocean,lat_rank,Longhurst_province,depth,ocean_water_column_depth,sunlit_dark_ocean,size_fraction_lower_threshold,size_fraction_upper_threshold,plankton_size_fraction,notus,nreads,picozoa_nreads,picozoa_noutus
943,ERR2249703,PRJEB24002,SAMEA104471096,illumina,-77.619,163.112,land_sediment,NA,NA,Coordinates may be on land,0,not_applicable,not_applicable,NA,NA,not_applicable,168,90308,0,0
5122,ERR2222651,PRJEB23910,SAMEA104430320,illumina,-73.9666,-118.03482,marine_water,SO,60-90S,Polar - Austral Polar Province,1227,Bathypelagic,dark_ocean,0.8,3,picoplankton +,49,153,0,0
5224,ERR2222650,PRJEB23910,SAMEA104430319,illumina,-73.9666,-118.03482,marine_water,SO,60-90S,Polar - Austral Polar Province,1227,Bathypelagic,dark_ocean,3,20,picoplankton +,158,1283,0,0
6845,ERR2222648,PRJEB23910,SAMEA104430316,illumina,-73.9666,-118.03484,marine_water,SO,60-90S,Polar - Austral Polar Province,25,Epipelagic,sunlit ,3,20,picoplankton +,242,8301,4,3
9335,ERR2222649,PRJEB23910,SAMEA104430318,illumina,-73.9666,-118.03482,marine_water,SO,60-90S,Polar - Austral Polar Province,25,Epipelagic,sunlit ,0.8,3,picoplankton +,256,9873,47,7
5249,ERR2222646,PRJEB23910,SAMEA104430314,illumina,-73.9666,-118.03484,marine_water,SO,60-90S,Polar - Austral Polar Province,2,Surface,sunlit ,3,20,picoplankton +,197,7885,0,0
9314,ERR2222647,PRJEB23910,SAMEA104430315,illumina,-73.9666,-118.03484,marine_water,SO,60-90S,Polar - Austral Polar Province,2,Surface,sunlit ,0.8,3,picoplankton +,195,10595,50,6
11083,ERR2222681,PRJEB23910,SAMEA104430353,illumina,-73.80166,-113.16476,marine_water,SO,60-90S,Polar - Austral Polar Province,735,Mesopelagic,dark_ocean,0.8,3,picoplankton +,467,4008,47,8
5229,ERR2222678,PRJEB23910,SAMEA104430350,illumina,-73.80146,-113.16556,marine_water,SO,60-90S,Polar - Austral Polar Province,30,Epipelagic,sunlit ,3,20,picoplankton +,120,5320,0,0
8709,ERR2222679,PRJEB23910,SAMEA104430351,illumina,-73.80138,-113.166,marine_water,SO,60-90S,Polar - Austral Polar Province,30,Epipelagic,sunlit ,0.8,3,picoplankton +,185,7909,26,6
5250,ERR2222676,PRJEB23910,SAMEA104430348,illumina,-73.8013,-113.16645,marine_water,SO,60-90S,Polar - Austral Polar Province,2,Surface,sunlit ,3,20,picoplankton +,146,5635,0,0
7791,ERR2222677,PRJEB23910,SAMEA104430349,illumina,-73.8013,-113.16651,marine_water,SO,60-90S,Polar - Austral Polar Province,2,Surface,sunlit ,0.8,3,picoplankton +,201,7946,13,3
6996,ERR2222686,PRJEB23910,SAMEA104430359,illumina,-73.7073,-113.2653,marine_water,SO,60-90S,Polar - Austral Polar Province,772,Mesopelagic,dark_ocean,3,20,picoplankton +,333,4755,3,2
8328,ERR2222687,PRJEB23910,SAMEA104430360,illumina,-73.7073,-113.2653,marine_water,SO,60-90S,Polar - Austral Polar Province,772,Mesopelagic,dark_ocean,0.8,3,picoplankton +,287,1599,4,3
5227,ERR2222684,PRJEB23910,SAMEA104430357,illumina,-73.7073,-113.26532,marine_water,SO,60-90S,Polar - Austral Polar Province,10,Epipelagic,sunlit ,3,20,picoplankton +,118,5164,0,0
9134,ERR2222685,PRJEB23910,SAMEA104430358,illumina,-73.70726,-113.2654,marine_water,SO,60-90S,Polar - Austral Polar Province,10,Epipelagic,sunlit ,0.8,3,picoplankton +,178,5686,24,5
5251,ERR2222682,PRJEB23910,SAMEA104430354,illumina,-73.70708,-113.26563,marine_water,SO,60-90S,Polar - Austral Polar Province,2,Surface,sunlit ,3,20,picoplankton +,132,7600,0,0
8389,ERR2222683,PRJEB23910,SAMEA104430355,illumina,-73.70707,-113.26565,marine_water,SO,60-90S,Polar - Austral Polar Province,2,Surface,sunlit ,0.8,3,picoplankton +,204,6882,18,4
7989,ERR2222668,PRJEB23910,SAMEA104430339,illumina,-73.70128,-115.4499,marine_water,SO,60-90S,Polar - Austral Polar Province,983,Mesopelagic,dark_ocean,3,20,picoplankton +,416,5689,11,5
9268,ERR2222669,PRJEB23910,SAMEA104430340,illumina,-73.70128,-115.44992,marine_water,SO,60-90S,Polar - Austral Polar Province,983,Mesopelagic,dark_ocean,0.8,3,picoplankton +,507,4582,21,9
7600,ERR2222666,PRJEB23910,SAMEA104430336,illumina,-73.70128,-115.4499,marine_water,SO,60-90S,Polar - Austral Polar Province,25,Epipelagic,sunlit ,3,20,picoplankton +,144,5163,7,2
