pOTU,Phylodist,Niche0ver,CladeID
pOTU047_pOTU059,42,0.115548203,NN
pOTU047_pOTU049,44,0.267249438,NN
pOTU047_pOTU054,42,0.12255062,NN
pOTU047_pOTU036,48,0.537249569,NN
pOTU047_pOTU022,46,0.623429364,NN
pOTU047_pOTU005,44,0.280593656,NN
pOTU047_pOTU003,44,0.46895826,NN
pOTU047_pOTU002,42,0.591686283,NN
pOTU047_pOTU043,46,0.286020515,NN
pOTU047_pOTU046,52,0.176751887,NN
pOTU047_pOTU045,46,0.105957424,NN
pOTU047_pOTU048,42,0.065009425,NN
pOTU047_pOTU041,52,0.160947631,NN
pOTU047_pOTU044,46,0.138044355,NN
pOTU047_pOTU042,52,0.107940082,NN
pOTU047_pOTU039,46,0.140449887,NN
pOTU047_pOTU032,42,0.200939332,NN
pOTU047_pOTU038,52,0.184814753,NN
pOTU047_pOTU034,46,0.231349502,NN
pOTU047_pOTU035,46,0.157505194,NN
pOTU047_pOTU033,46,0.198823745,NN
pOTU047_pOTU029,42,0.161139761,NN
pOTU047_pOTU025,46,0.19970949,NN
pOTU047_pOTU023,42,0.133476805,NN
pOTU047_pOTU026,46,0.253329692,NN
pOTU047_pOTU028,42,0.311917889,NN
pOTU047_pOTU027,52,0.143169307,NN
pOTU047_pOTU019,44,0.251486736,NN
pOTU047_pOTU021,48,0.190771082,NN
pOTU047_pOTU018,42,0.25062044,NN
pOTU047_pOTU024,46,0.151686477,NN
pOTU047_pOTU016,42,0.14319572,NN
pOTU047_pOTU020,42,0.300755778,NN
pOTU047_pOTU017,42,0.149300431,NN
pOTU047_pOTU008,42,0.168738911,NN
pOTU047_pOTU011,42,0.149544571,NN
pOTU047_pOTU010,42,0.274258078,NN
pOTU047_pOTU051,42,0.123305115,NN
pOTU047_pOTU052,44,0.049493025,NN
pOTU047_pOTU030,48,0.206689663,NN
pOTU047_pOTU037,48,0.099096171,NN
pOTU047_pOTU040,50,0.186454176,NN
pOTU047_pOTU031,48,0.115640755,NN
pOTU047_pOTU015,48,0.107029809,NN
pOTU047_pOTU014,46,0.095093337,NN
pOTU047_pOTU012,48,0.162758817,NN
pOTU047_pOTU013,46,0.11434578,NN
pOTU047_pOTU006,46,0.033505754,NN
pOTU047_pOTU009,44,0.304355347,NN
pOTU047_pOTU007,42,0.299540094,NN
pOTU047_pOTU001,48,0.415419258,NN
pOTU059_pOTU047,42,0.115548203,NN
pOTU059_pOTU049,44,0.198829008,NN
pOTU059_pOTU036,48,0.040705797,NN
pOTU059_pOTU022,46,0.183019505,NN
pOTU059_pOTU005,44,0.321140883,NN
pOTU059_pOTU004,42,0.36066759,NN
pOTU059_pOTU003,44,0.131072516,NN
pOTU059_pOTU043,46,0.324481692,NN
pOTU059_pOTU046,52,0.221685597,NN
pOTU059_pOTU045,46,0.299465046,NN
pOTU059_pOTU041,52,0.320155717,NN
pOTU059_pOTU044,46,0.22241238,NN
pOTU059_pOTU042,52,0.18949921,NN
pOTU059_pOTU039,46,0.082953632,NN
pOTU059_pOTU038,52,0.370253071,NN
pOTU059_pOTU034,46,0.239471327,NN
pOTU059_pOTU035,46,0.060942651,NN
pOTU059_pOTU033,46,0.265457382,NN
pOTU059_pOTU025,46,0.417590549,NN
pOTU059_pOTU026,46,0.224570827,NN
pOTU059_pOTU027,52,0.277730041,NN
pOTU059_pOTU019,44,0.445099213,NN
pOTU059_pOTU021,48,0.562003598,NN
pOTU059_pOTU024,46,0.512450184,NN
pOTU059_pOTU052,44,0,NN
pOTU059_pOTU030,48,0.043330982,NN
pOTU059_pOTU037,48,4.30E-10,NN
pOTU059_pOTU040,50,1.53E-06,NN
pOTU059_pOTU031,48,0.005698953,NN
pOTU059_pOTU015,48,1.50E-05,NN
pOTU059_pOTU014,46,0.004305978,NN
pOTU059_pOTU012,48,0.001643084,NN
pOTU059_pOTU013,46,3.59E-05,NN
pOTU059_pOTU006,46,0.000755771,NN
pOTU059_pOTU009,44,0.046078136,NN
pOTU059_pOTU001,48,0.012368517,NN
pOTU049_pOTU047,44,0.267249438,NN
pOTU049_pOTU059,44,0.198829008,NN
pOTU049_pOTU054,44,0.046906032,NN
pOTU049_pOTU036,48,0.082214517,NN
pOTU049_pOTU022,46,0.430088351,NN
pOTU049_pOTU004,44,0.484132457,NN
pOTU049_pOTU002,44,0.35225435,NN
pOTU049_pOTU043,46,0.643720732,NN
pOTU049_pOTU046,52,0.587336849,NN
pOTU049_pOTU045,46,0.481760878,NN
pOTU049_pOTU048,44,0.344778227,NN
pOTU049_pOTU041,52,0.616732134,NN
pOTU049_pOTU044,46,0.506973983,NN
pOTU049_pOTU042,52,0.454928073,NN
pOTU049_pOTU039,46,0.432924463,NN
pOTU049_pOTU032,44,0.610459874,NN
pOTU049_pOTU038,52,0.579660943,NN
pOTU049_pOTU034,46,0.67834044,NN
pOTU049_pOTU035,46,0.440350327,NN
pOTU049_pOTU033,46,0.643209925,NN
pOTU049_pOTU029,44,0.526141097,NN
pOTU049_pOTU025,46,0.627403521,NN
pOTU049_pOTU023,44,0.505646042,NN
pOTU049_pOTU026,46,0.701397902,NN
pOTU049_pOTU028,44,0.584968118,NN
pOTU049_pOTU027,52,0.558051766,NN
pOTU049_pOTU021,48,0.432286578,NN
pOTU049_pOTU018,44,0.498525643,NN
pOTU049_pOTU024,46,0.42897685,NN
pOTU049_pOTU016,44,0.492654704,NN
pOTU049_pOTU020,44,0.197041027,NN
pOTU049_pOTU017,44,0.558996136,NN
pOTU049_pOTU008,44,0.608214809,NN
pOTU049_pOTU011,44,0.542009686,NN
pOTU049_pOTU010,44,0.521963379,NN
pOTU049_pOTU051,44,7.78E-05,NN
pOTU049_pOTU030,48,0.087293502,NN
pOTU049_pOTU037,48,0,NN
pOTU049_pOTU040,50,1.34E-07,NN
pOTU049_pOTU031,48,0.022347331,NN
pOTU049_pOTU015,48,4.17E-07,NN
pOTU049_pOTU014,46,0.014457824,NN
pOTU049_pOTU012,48,0.022880205,NN
pOTU049_pOTU013,46,1.71E-06,NN
pOTU049_pOTU006,46,0.000755771,NN
pOTU049_pOTU007,44,0.018159817,NN
pOTU049_pOTU001,48,0.022026228,NN
pOTU054_pOTU047,42,0.12255062,NN
pOTU054_pOTU049,44,0.046906032,NN
pOTU054_pOTU036,48,0.338786904,NN
pOTU054_pOTU022,46,0.167142894,NN
pOTU054_pOTU005,44,0.049907188,NN
pOTU054_pOTU004,42,0.028277356,NN
pOTU054_pOTU003,44,0.035099554,NN
pOTU054_pOTU043,46,0.046583141,NN
pOTU054_pOTU046,52,0.017261668,NN
pOTU054_pOTU045,46,0.014732512,NN
pOTU054_pOTU041,52,0.020080587,NN
pOTU054_pOTU044,46,0.015667998,NN
pOTU054_pOTU042,52,0.015582598,NN
pOTU054_pOTU039,46,0.018633417,NN
pOTU054_pOTU038,52,0.019381777,NN
pOTU054_pOTU034,46,0.039800889,NN
pOTU054_pOTU035,46,0.029732733,NN
pOTU054_pOTU033,46,0.024241643,NN
pOTU054_pOTU025,46,0.030039652,NN
pOTU054_pOTU026,46,0.033858657,NN
pOTU054_pOTU027,52,0.018774999,NN
pOTU054_pOTU019,44,0.044129803,NN
pOTU054_pOTU021,48,0.02665523,NN
pOTU054_pOTU024,46,0.018787102,NN
pOTU054_pOTU052,44,0.643569075,NN
pOTU054_pOTU030,48,0.577940941,NN
pOTU054_pOTU037,48,0.005056227,NN
pOTU054_pOTU040,50,0.019147181,NN
